

 One-dimensional plot values
 Input line #      35
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.10300       0.02575       0.10300       -7.428284E+18
      0.10333       0.02583       0.10333       -7.273956E+18
      0.10400       0.02600       0.10400       -6.774326E+18
      0.10500       0.02625       0.10500       -6.026178E+18
      0.10550       0.02637       0.10550       -5.569312E+18
      0.10562       0.02641       0.10562       -5.450600E+18
      0.10600       0.02650       0.10600       -5.027143E+18
      0.10611       0.02653       0.10611       -1.006171E+18
      0.10625       0.02656       0.10625        4.038638E+18
      0.10639       0.02660       0.10639        4.343644E+18
      0.10650       0.02663       0.10650        4.603649E+18
      0.10667       0.02667       0.10667        4.810020E+18
      0.10700       0.02675       0.10700        5.185501E+18
      0.10750       0.02687       0.10750        5.697265E+18
      0.10800       0.02700       0.10800        6.401898E+18
      0.10889       0.02722       0.10889        7.335125E+18
      0.10900       0.02725       0.10900        7.534759E+18
      0.11000       0.02750       0.11000        8.567341E+18
      0.11100       0.02775       0.11100        9.606165E+18
      0.11111       0.02778       0.11111        9.649828E+18
      0.11200       0.02800       0.11200        1.046358E+19
      0.11222       0.02806       0.11222        1.052220E+19
      0.11300       0.02825       0.11300        1.109814E+19
      0.11333       0.02833       0.11333        1.113668E+19
      0.11400       0.02850       0.11400        1.149072E+19
      0.11444       0.02861       0.11444        1.147352E+19
      0.11500       0.02875       0.11500        1.164412E+19
      0.11556       0.02889       0.11556        1.154014E+19
      0.11600       0.02900       0.11600        1.157913E+19
      0.11667       0.02917       0.11667        1.136550E+19
      0.11700       0.02925       0.11700        1.132827E+19
      0.11778       0.02944       0.11778        1.099174E+19
      0.11800       0.02950       0.11800        1.092923E+19
      0.11889       0.02972       0.11889        1.046546E+19
      0.11900       0.02975       0.11900        1.041914E+19
      0.12000       0.03000       0.12000        9.830622E+18
      0.12100       0.03025       0.12100        9.445405E+18
      0.12111       0.03028       0.12111        9.397513E+18
      0.12200       0.03050       0.12200        9.029429E+18
      0.12222       0.03056       0.12222        8.931125E+18
      0.12300       0.03075       0.12300        8.594655E+18
      0.12333       0.03083       0.12333        8.444911E+18
      0.12400       0.03100       0.12400        8.149010E+18
      0.12444       0.03111       0.12444        7.947589E+18
      0.12500       0.03125       0.12500        7.697386E+18
      0.12556       0.03139       0.12556        7.444408E+18
      0.12600       0.03150       0.12600        7.242659E+18
      0.12667       0.03167       0.12667        6.938327E+18
      0.12700       0.03175       0.12700        6.786389E+18
      0.12778       0.03194       0.12778        6.430897E+18
      0.12800       0.03200       0.12800        6.329398E+18
      0.12889       0.03222       0.12889        5.922892E+18
      0.12900       0.03225       0.12900        5.872092E+18
      0.13000       0.03250       0.13000        5.414646E+18
      0.13100       0.03275       0.13100        5.146051E+18
      0.13111       0.03278       0.13111        5.116204E+18
      0.13200       0.03300       0.13200        4.877433E+18
      0.13222       0.03306       0.13222        4.817739E+18
      0.13300       0.03325       0.13300        4.608809E+18
      0.13333       0.03333       0.13333        4.519268E+18
      0.13400       0.03350       0.13400        4.340185E+18
      0.13444       0.03361       0.13444        4.220795E+18
      0.13500       0.03375       0.13500        4.071556E+18
      0.13556       0.03389       0.13556        3.922321E+18
      0.13600       0.03400       0.13600        3.802932E+18
      0.13667       0.03417       0.13667        3.623845E+18
      0.13700       0.03425       0.13700        3.534302E+18
      0.13778       0.03444       0.13778        3.325372E+18
      0.13800       0.03450       0.13800        3.265677E+18
      0.13889       0.03472       0.13889        3.026892E+18
      0.13900       0.03475       0.13900        2.997045E+18
