

 One-dimensional plot values
 Input line #      36
  X (Microns)   Y (Microns)  X (Microns)        Concentration (cm^-3)         
      0.10100       0.02525       0.10100        7.151719E+18
      0.10111       0.02528       0.10111        7.128023E+18
      0.10200       0.02550       0.10200        6.851418E+18
      0.10222       0.02556       0.10222        6.765877E+18
      0.10300       0.02575       0.10300        6.338944E+18
      0.10333       0.02583       0.10333        6.155498E+18
      0.10400       0.02600       0.10400        5.634976E+18
      0.10500       0.02625       0.10500        4.825471E+18
      0.10550       0.02637       0.10550        4.349658E+18
      0.10562       0.02641       0.10562        4.225371E+18
      0.10600       0.02650       0.10600        3.801276E+18
      0.10611       0.02653       0.10611        7.047909E+16
      0.10625       0.02656       0.10625       -4.606544E+18
      0.10639       0.02660       0.10639       -5.226996E+18
      0.10650       0.02663       0.10650       -5.734767E+18
      0.10667       0.02667       0.10667       -5.935119E+18
      0.10700       0.02675       0.10700       -6.307775E+18
      0.10750       0.02687       0.10750       -6.834653E+18
      0.10800       0.02700       0.10800       -7.485183E+18
      0.10889       0.02722       0.10889       -8.448699E+18
      0.10900       0.02725       0.10900       -8.624072E+18
      0.11000       0.02750       0.11000       -9.701623E+18
      0.11100       0.02775       0.11100       -1.075538E+19
      0.11111       0.02778       0.11111       -1.081823E+19
      0.11200       0.02800       0.11200       -1.167504E+19
      0.11222       0.02806       0.11222       -1.177772E+19
      0.11300       0.02825       0.11300       -1.242702E+19
      0.11333       0.02833       0.11333       -1.253983E+19
      0.11400       0.02850       0.11400       -1.299044E+19
      0.11444       0.02861       0.11444       -1.308077E+19
      0.11500       0.02875       0.11500       -1.335788E+19
      0.11556       0.02889       0.11556       -1.339409E+19
      0.11600       0.02900       0.11600       -1.353432E+19
      0.11667       0.02917       0.11667       -1.348905E+19
      0.11700       0.02925       0.11700       -1.353479E+19
      0.11778       0.02944       0.11778       -1.338718E+19
      0.11800       0.02950       0.11800       -1.338115E+19
      0.11889       0.02972       0.11889       -1.311788E+19
      0.11900       0.02975       0.11900       -1.309883E+19
      0.12000       0.03000       0.12000       -1.271379E+19
      0.12100       0.03025       0.12100       -1.240543E+19
      0.12111       0.03028       0.12111       -1.236165E+19
      0.12200       0.03050       0.12200       -1.204211E+19
      0.12222       0.03056       0.12222       -1.194867E+19
      0.12300       0.03075       0.12300       -1.163965E+19
      0.12333       0.03083       0.12333       -1.149322E+19
      0.12400       0.03100       0.12400       -1.121040E+19
      0.12444       0.03111       0.12444       -1.100944E+19
      0.12500       0.03125       0.12500       -1.076351E+19
      0.12556       0.03139       0.12556       -1.050762E+19
      0.12600       0.03150       0.12600       -1.030546E+19
      0.12667       0.03167       0.12667       -9.994807E+18
      0.12700       0.03175       0.12700       -9.840606E+18
      0.12778       0.03194       0.12778       -9.475619E+18
      0.12800       0.03200       0.12800       -9.371762E+18
      0.12889       0.03222       0.12889       -8.952915E+18
      0.12900       0.03225       0.12900       -8.900676E+18
      0.13000       0.03250       0.13000       -8.428359E+18
      0.13100       0.03275       0.13100       -8.096840E+18
      0.13111       0.03278       0.13111       -8.059960E+18
      0.13200       0.03300       0.13200       -7.765002E+18
      0.13222       0.03306       0.13222       -7.691219E+18
      0.13300       0.03325       0.13300       -7.433010E+18
      0.13333       0.03333       0.13333       -7.322319E+18
      0.13400       0.03350       0.13400       -7.100949E+18
      0.13444       0.03361       0.13444       -6.953348E+18
      0.13500       0.03375       0.13500       -6.768851E+18
      0.13556       0.03389       0.13556       -6.584344E+18
      0.13600       0.03400       0.13600       -6.436741E+18
      0.13667       0.03417       0.13667       -6.215328E+18
      0.13700       0.03425       0.13700       -6.104620E+18
      0.13778       0.03444       0.13778       -5.846306E+18
      0.13800       0.03450       0.13800       -5.772501E+18
      0.13889       0.03472       0.13889       -5.477275E+18
      0.13900       0.03475       0.13900       -5.440373E+18
      0.14000       0.03500       0.14000       -5.108253E+18
      0.14100       0.03525       0.14100       -4.889531E+18
      0.14111       0.03528       0.14111       -4.865228E+18
      0.14200       0.03550       0.14200       -4.670811E+18
      0.14222       0.03556       0.14222       -4.622207E+18
      0.14300       0.03575       0.14300       -4.452089E+18
      0.14333       0.03583       0.14333       -4.379183E+18
      0.14400       0.03600       0.14400       -4.233369E+18
      0.14444       0.03611       0.14444       -4.136160E+18
      0.14500       0.03625       0.14500       -4.014648E+18
      0.14556       0.03639       0.14556       -3.893135E+18
      0.14600       0.03650       0.14600       -3.795925E+18
      0.14667       0.03667       0.14667       -3.650112E+18
      0.14700       0.03675       0.14700       -3.577206E+18
      0.14778       0.03694       0.14778       -3.407089E+18
      0.14800       0.03700       0.14800       -3.358483E+18
      0.14889       0.03722       0.14889       -3.164067E+18
      0.14900       0.03725       0.14900       -3.139764E+18
      0.15000       0.03750       0.15000       -2.921042E+18
      0.15100       0.03775       0.15100       -2.785510E+18
      0.15111       0.03778       0.15111       -2.770451E+18
      0.15200       0.03800       0.15200       -2.649981E+18
      0.15222       0.03806       0.15222       -2.619862E+18
      0.15300       0.03825       0.15300       -2.514449E+18
